DATE,BEDS_ICU_TOTAL,BEDS_ICU_OCCUPIED_COVID_19,BEDS_ICU_NO_OCCUPIED_COVID_19,BEDS_AVAILABLE_ICU_BEDS_TOTAL,VENTS_TOTAL,VENTS_ALL_USE_COVID_19,VENTS_NON_COVID_PTS_ON_VENTS,VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,PCT_BEDS_ICU_OCCUPIED_COVID_19,PCT_BEDS_ICU_NO_OCCUPIED_COVID_19,PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL,PCT_VENTS_ALL_USE_COVID_19,PCT_VENTS_NON_COVID_PTS_ON_VENTS,PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE
2020-02-26,0,0,0,0,0,0,0,0,,,,,,
2020-02-27,0,0,0,0,0,0,0,0,,,,,,
2020-02-28,0,0,0,0,0,0,0,0,,,,,,
2020-02-29,0,0,0,0,0,0,0,0,,,,,,
2020-03-01,0,0,0,0,0,0,0,0,,,,,,
2020-03-02,0,0,0,0,0,0,0,0,,,,,,
2020-03-03,0,0,0,0,0,0,0,0,,,,,,
2020-03-04,0,0,0,0,0,0,0,0,,,,,,
2020-03-05,0,0,0,0,0,0,0,0,,,,,,
2020-03-06,0,0,0,0,0,0,0,0,,,,,,
2020-03-07,0,0,0,0,0,0,0,0,,,,,,
2020-03-08,0,0,0,0,0,0,0,0,,,,,,
2020-03-09,0,0,0,0,0,0,0,0,,,,,,
2020-03-10,0,0,0,0,0,0,0,0,,,,,,
2020-03-11,0,0,0,0,0,0,0,0,,,,,,
2020-03-12,0,0,0,0,0,0,0,0,,,,,,
2020-03-13,0,0,0,0,0,0,0,0,,,,,,
2020-03-14,0,0,0,0,0,0,0,0,,,,,,
2020-03-15,0,0,0,0,0,0,0,0,,,,,,
2020-03-16,0,0,0,0,0,0,0,0,,,,,,
2020-03-17,0,0,0,0,0,0,0,0,,,,,,
2020-03-18,0,0,0,0,0,0,0,0,,,,,,
2020-03-19,0,0,0,0,0,0,0,0,,,,,,
2020-03-20,0,0,0,0,0,0,0,0,,,,,,
2020-03-21,0,0,0,0,0,0,0,0,,,,,,
2020-03-22,0,0,0,0,0,0,0,0,,,,,,
2020-03-23,0,0,0,0,0,0,0,0,,,,,,
2020-03-24,0,0,0,0,0,0,0,0,,,,,,
2020-03-25,0,0,0,0,0,0,0,0,,,,,,
2020-03-26,0,0,0,0,0,0,0,0,,,,,,
2020-03-27,0,0,0,0,0,0,0,0,,,,,,
2020-03-28,0,0,0,0,0,0,0,0,,,,,,
2020-03-29,0,0,0,0,0,0,0,0,,,,,,
2020-03-30,0,0,0,0,0,0,0,0,,,,,,
2020-03-31,0,0,0,0,0,0,0,0,,,,,,
2020-04-01,0,0,0,0,0,0,0,0,,,,,,
2020-04-02,0,0,0,0,0,0,0,0,,,,,,
2020-04-03,0,0,0,0,0,0,0,0,,,,,,
2020-04-04,0,0,0,0,0,0,0,0,,,,,,
2020-04-05,0,0,0,0,0,0,0,0,,,,,,
2020-04-06,0,0,0,0,0,0,0,0,,,,,,
2020-04-07,0,0,0,0,0,0,0,0,,,,,,
2020-04-08,2981,829,881,1271,2756,501,351,1904,27.81,29.55,42.64,18.18,12.74,69.09
2020-04-09,2947,856,872,1219,2758,476,391,1891,29.05,29.59,41.36,17.26,14.18,68.56
2020-04-10,2919,781,860,1278,2905,480,353,2072,26.76,29.46,43.78,16.52,12.15,71.33
2020-04-11,2960,726,920,1314,2872,464,315,2093,24.53,31.08,44.39,16.16,10.97,72.88
2020-04-12,2908,719,853,1336,2921,440,308,2173,24.72,29.33,45.94,15.06,10.54,74.39
2020-04-13,2920,721,848,1351,2926,437,309,2180,24.69,29.04,46.27,14.94,10.56,74.5
2020-04-14,2948,738,868,1342,2895,424,331,2140,25.03,29.44,45.52,14.65,11.43,73.92
2020-04-15,2926,696,924,1306,2961,427,297,2237,23.79,31.58,44.63,14.42,10.03,75.55
2020-04-16,2915,639,918,1358,3027,417,326,2284,21.92,31.49,46.59,13.78,10.77,75.45
2020-04-17,2837,663,825,1349,3080,359,334,2387,23.37,29.08,47.55,11.66,10.84,77.5
2020-04-18,2872,649,878,1345,3117,344,332,2441,22.6,30.57,46.83,11.04,10.65,78.31
2020-04-19,2863,670,833,1360,3104,353,342,2409,23.4,29.1,47.5,11.37,11.02,77.61
2020-04-20,3008,677,906,1425,3173,369,358,2446,22.51,30.12,47.37,11.63,11.28,77.09
2020-04-21,3060,634,1009,1417,3184,335,401,2448,20.72,32.97,46.31,10.52,12.59,76.88
2020-04-22,3234,652,1178,1404,3203,333,404,2466,20.16,36.43,43.41,10.4,12.61,76.99
2020-04-23,3272,621,1201,1450,3215,325,372,2518,18.98,36.71,44.32,10.11,11.57,78.32
2020-04-24,3258,598,1204,1456,3198,324,359,2515,18.35,36.96,44.69,10.13,11.23,78.64
2020-04-25,3312,588,1304,1420,3158,310,359,2489,17.75,39.37,42.87,9.82,11.37,78.82
2020-04-26,3307,581,1277,1449,3160,284,378,2498,17.57,38.62,43.82,8.99,11.96,79.05
2020-04-27,3271,546,1279,1446,3180,275,380,2525,16.69,39.1,44.21,8.65,11.95,79.4
2020-04-28,3063,562,1162,1339,3026,267,323,2436,18.35,37.94,43.72,8.82,10.67,80.5
2020-04-29,2983,530,1169,1284,3084,263,328,2493,17.77,39.19,43.04,8.53,10.64,80.84
2020-04-30,2946,517,1187,1242,3077,247,357,2473,17.55,40.29,42.16,8.03,11.6,80.37
2020-05-01,2956,472,1189,1295,3094,245,363,2486,15.97,40.22,43.81,7.92,11.73,80.35
2020-05-02,2961,484,1143,1334,3036,250,346,2440,16.35,38.6,45.05,8.23,11.4,80.37
2020-05-03,2852,481,1131,1240,3025,265,327,2433,16.87,39.66,43.48,8.76,10.81,80.43
2020-05-04,2709,514,1071,1124,3080,283,346,2451,18.97,39.53,41.49,9.19,11.23,79.58
2020-05-05,2748,500,1094,1154,3099,247,378,2474,18.2,39.81,41.99,7.97,12.2,79.83
2020-05-06,2736,486,1132,1118,3092,227,374,2491,17.76,41.37,40.86,7.34,12.1,80.56
2020-05-07,2719,481,1153,1085,3026,219,353,2454,17.69,42.41,39.9,7.24,11.67,81.1
2020-05-08,2699,458,1151,1090,3064,213,368,2483,16.97,42.65,40.39,6.95,12.01,81.04
2020-05-09,2675,462,1100,1113,3078,205,362,2511,17.27,41.12,41.61,6.66,11.76,81.58
2020-05-10,2647,452,1067,1128,3077,213,369,2495,17.08,40.31,42.61,6.92,11.99,81.09
2020-05-11,2725,472,1038,1215,3059,212,366,2481,17.32,38.09,44.59,6.93,11.96,81.1
