Date,7-day hospitalizations average
3/1/2020,0.793135047
3/2/2020,1.5298208
3/3/2020,2.487512278
3/4/2020,3.432925661
3/5/2020,4.26783618
3/6/2020,4.889926371
3/7/2020,5.704373398
3/8/2020,6.201636281
3/9/2020,6.170941041
3/10/2020,5.765763877
3/11/2020,6.097272466
3/12/2020,6.635053065
3/13/2020,7.570643971
3/14/2020,7.754815409
3/15/2020,8.024933519
3/16/2020,8.782082764
3/17/2020,9.535139311
3/18/2020,10.71383652
3/19/2020,11.49963465
3/20/2020,12.35910136
3/21/2020,14.75742276
3/22/2020,17.37908856
3/23/2020,19.6568946
3/24/2020,23.26665479
3/25/2020,27.53199446
3/26/2020,31.51576434
3/27/2020,34.92746939
3/28/2020,38.44061041
3/29/2020,41.29857335
3/30/2020,43.72810157
3/31/2020,45.54372499
4/1/2020,46.33259265
4/2/2020,45.11214992
4/3/2020,44.02738015
4/4/2020,43.46565727
4/5/2020,42.21697492
4/6/2020,40.05439296
4/7/2020,38.19221509
4/8/2020,35.93304545
4/9/2020,34.31233679
4/10/2020,33.49672042
4/11/2020,31.88127381
4/12/2020,30.64732517
4/13/2020,30.26056515
4/14/2020,29.90040767
4/15/2020,30.07639371
4/16/2020,30.51840517
4/17/2020,30.7025766
4/18/2020,30.59207374
4/19/2020,30.44473659
4/20/2020,30.68620581
4/21/2020,29.73015141
4/22/2020,28.27765267
4/23/2020,26.74289068
4/24/2020,26.50346781
4/25/2020,27.13701756
4/26/2020,27.53482787
4/27/2020,26.50346781
4/28/2020,26.2133978
4/29/2020,27.91544884
4/30/2020,27.54096692
5/1/2020,26.26404494
5/2/2020,25.76678206
5/3/2020,25.76678206
5/4/2020,25.84045064
5/5/2020,25.58261062
5/6/2020,25.39230014
5/7/2020,26.44207733
5/8/2020,26.94547926
5/9/2020,26.1811678
5/10/2020,25.1958506
5/11/2020,24.56762136
5/12/2020,23.46463908
5/13/2020,22.10177044
5/14/2020,20.51175703
5/15/2020,19.96538176
5/16/2020,19.72595889
5/17/2020,19.72595889
5/18/2020,19.77507127
5/19/2020,20.18024844
5/20/2020,20.75731894
5/21/2020,21.05199324
5/22/2020,21.08882753
5/23/2020,20.80643133
5/24/2020,20.79415323
5/25/2020,20.23427206
5/26/2020,19.50495316
5/27/2020,19.17344457
5/28/2020,18.70380741
5/29/2020,18.25258738
5/30/2020,18.17891881
5/31/2020,17.22122733
6/1/2020,15.89519298
6/2/2020,15.47159867
6/3/2020,15.64963106
6/4/2020,15.49001581
6/5/2020,14.59371481
6/6/2020,14.72570434
6/7/2020,14.90066721
6/8/2020,15.5268501
6/9/2020,15.50474953
6/10/2020,14.45865576
6/11/2020,13.75880429
6/12/2020,13.00984044
6/13/2020,12.10126135
6/14/2020,12.27929374
6/15/2020,12.69060995
6/16/2020,12.97300616
6/17/2020,13.35362713
6/18/2020,13.69434429
6/19/2020,14.79834974
6/20/2020,15.01117007
6/21/2020,14.3481529
6/22/2020,13.2983757
6/23/2020,12.61694138
6/24/2020,12.37751851
6/25/2020,11.50454589
6/26/2020,10.88572986
6/27/2020,10.59105556
6/28/2020,10.73839271
6/29/2020,11.47507846
6/30/2020,11.45666132
7/1/2020,11.89498934
7/2/2020,12.13809564
7/3/2020,11.68380609
7/4/2020,11.97848039
7/5/2020,11.93550706
7/6/2020,11.84342134
7/7/2020,11.91708991
7/8/2020,11.68380609
7/9/2020,12.04805627
7/10/2020,12.65377566
7/11/2020,12.43276994
7/12/2020,12.28543279
7/13/2020,12.00917563
7/14/2020,11.76975276
7/15/2020,10.81206128
7/16/2020,11.0453451
7/17/2020,11.9662023
7/18/2020,12.28543279
7/19/2020,12.35910136
7/20/2020,12.17492993
7/21/2020,13.24838631
7/22/2020,14.56915862
7/23/2020,14.09952145
7/24/2020,13.2983757
7/25/2020,12.98528425
7/26/2020,13.84168144
7/27/2020,14.80244244
7/28/2020,14.1566146
7/29/2020,14.28369289
7/30/2020,14.59371481
7/31/2020,15.2239904
8/1/2020,15.93202726
8/2/2020,15.96886155
8/3/2020,15.46545962
8/4/2020,15.68646535
8/5/2020,15.05721293
8/6/2020,14.29904051
8/7/2020,13.39046142
8/8/2020,12.46960423
8/9/2020,11.76975276
8/10/2020,11.91708991
8/11/2020,11.63469371
8/12/2020,11.69608419
8/13/2020,12.08284421
8/14/2020,13.02211854
8/15/2020,13.39046142
8/16/2020,13.24312427
8/17/2020,12.66605376
8/18/2020,12.28543279
8/19/2020,12.38365755
8/20/2020,12.5432728
8/21/2020,11.60399847
8/22/2020,11.40140988
8/23/2020,11.54874704
8/24/2020,11.54874704
8/25/2020,11.3645756
8/26/2020,11.03306701
8/27/2020,11.20496035
8/28/2020,11.40140988
8/29/2020,11.62241561
8/30/2020,11.90071912
8/31/2020,12.39593565
9/1/2020,12.67833186
9/2/2020,12.96072806
9/3/2020,12.57274023
9/4/2020,11.34001941
9/5/2020,10.88572986
9/6/2020,10.59105556
